,TID,Time
0,351,59209
1,352,59804
2,353,59822
3,354,59950
4,355,60372
5,356,60374
6,357,60377
7,358,60378
8,359,60381
9,360,60388
10,361,60438
11,362,60440
12,363,60625
13,364,60626
14,365,60685
15,366,60817
16,367,60818
17,368,60837
18,369,60947
19,370,61032
20,371,61035
21,372,61036
22,373,61044
23,374,61045
24,375,61385
25,376,61387
26,377,61389
27,378,61390
28,379,61391
29,380,61394
30,381,61395
31,382,61397
32,383,61397
33,384,61398
34,385,61399
35,386,61400
36,387,61403
37,388,61472
38,389,61474
39,390,61532
40,391,61535
41,392,61551
42,393,61604
43,394,61678
44,395,61929
45,396,61934
46,397,62313
47,398,62565
48,399,62581
49,400,62655
50,401,62731
51,402,62840
52,403,62843
53,404,62846
54,405,62850
55,406,62851
56,407,63114
57,408,63116
58,409,63123
59,410,63160
60,411,63913
61,412,63930
62,413,64065
63,414,64145
64,415,64233
65,416,64269
66,417,64812
67,418,64960
68,419,65018
69,420,65098
70,421,65131
71,422,65133
72,423,65137
73,424,65276
74,425,65276
75,426,65277
76,427,65303
77,428,65482
78,429,65896
79,430,65898
80,431,65994
81,432,66087
82,433,66087
83,434,66089
84,435,66093
85,436,66095
86,437,66098
87,438,66100
88,439,66107
89,440,66128
90,441,66141
91,442,66200
92,443,66367
93,444,66368
94,445,66450
95,446,66568
96,447,66572
97,448,66573
98,449,66578
99,450,66662
100,451,66853
101,452,67219
102,453,67220
