,1,0
0,0,22557
1,1,23157
2,9,23757
3,5,24357
4,2,24957
5,2,25557
6,0,26157
7,2,26757
8,4,27357
9,12,27957
10,15,28557
11,7,29157
12,3,29757
13,0,30357
14,2,30957
15,10,31557
16,16,32157
17,10,32757
18,2,33357
19,4,33957
20,6,34557
21,0,35157
22,0,35757
23,1,36357
24,6,36957
25,8,37557
26,7,38157
27,6,38757
28,8,39357
29,8,39957
30,0,40557
31,4,41157
32,9,41757
33,20,42357
34,4,42957
35,9,43557
36,5,44157
37,4,44757
38,0,45357
39,0,45957
40,6,46557
41,9,47157
42,7,47757
43,10,48357
44,16,48957
45,9,49557
46,1,50157
47,0,50757
48,2,51357
49,2,51957
50,16,52557
51,1,53157
52,8,53757
53,8,54357
54,4,54957
55,2,55557
56,7,56157
57,18,56757
58,9,57357
59,3,57957
60,0,58557
61,0,59157
62,1,59757
63,3,60357
64,15,60957
65,23,61557
66,4,62157
67,5,62757
68,9,63357
69,2,63957
70,4,64557
71,7,65157
72,5,65757
73,14,66357
74,9,66957
75,2,67557
76,0,68157
77,0,68757
78,0,69357
79,0,69957
80,14,70557
81,7,71157
82,3,71757
83,3,72357
84,0,72957
85,0,73557
86,0,74157
87,0,74757
88,0,75357
89,0,75957
90,1,76557
91,2,77157
92,1,77757
93,1,78357
94,2,78957
95,1,79557
