,1,0
0,0,22557
1,0,22857
2,1,23157
3,5,23457
4,4,23757
5,2,24057
6,3,24357
7,0,24657
8,2,24957
9,2,25257
10,0,25557
11,0,25857
12,0,26157
13,1,26457
14,1,26757
15,1,27057
16,3,27357
17,6,27657
18,6,27957
19,2,28257
20,13,28557
21,6,28857
22,1,29157
23,1,29457
24,2,29757
25,0,30057
26,0,30357
27,0,30657
28,2,30957
29,7,31257
30,3,31557
31,7,31857
32,9,32157
33,2,32457
34,8,32757
35,2,33057
36,0,33357
37,4,33657
38,0,33957
39,2,34257
40,4,34557
41,0,34857
42,0,35157
43,0,35457
44,0,35757
45,0,36057
46,1,36357
47,3,36657
48,3,36957
49,5,37257
50,3,37557
51,4,37857
52,3,38157
53,2,38457
54,4,38757
55,7,39057
56,1,39357
57,5,39657
58,3,39957
59,0,40257
60,0,40557
61,0,40857
62,4,41157
63,7,41457
64,2,41757
65,10,42057
66,10,42357
67,1,42657
68,3,42957
69,3,43257
70,6,43557
71,5,43857
72,0,44157
73,0,44457
74,4,44757
75,0,45057
76,0,45357
77,0,45657
78,0,45957
79,0,46257
80,6,46557
81,9,46857
82,0,47157
83,2,47457
84,5,47757
85,8,48057
86,2,48357
87,12,48657
88,4,48957
89,5,49257
90,4,49557
91,1,49857
92,0,50157
93,0,50457
94,0,50757
95,0,51057
96,2,51357
97,1,51657
98,1,51957
99,10,52257
100,6,52557
101,1,52857
102,0,53157
103,4,53457
104,4,53757
105,2,54057
106,6,54357
107,2,54657
108,2,54957
109,2,55257
110,0,55557
111,4,55857
112,3,56157
113,4,56457
114,14,56757
115,6,57057
116,3,57357
117,3,57657
118,0,57957
119,0,58257
120,0,58557
121,0,58857
122,0,59157
123,1,59457
124,0,59757
125,3,60057
126,0,60357
127,10,60657
128,5,60957
129,5,61257
130,18,61557
131,2,61857
132,2,62157
133,1,62457
134,4,62757
135,5,63057
136,4,63357
137,0,63657
138,2,63957
139,3,64257
140,1,64557
141,1,64857
142,6,65157
143,4,65457
144,1,65757
145,3,66057
146,11,66357
147,7,66657
148,2,66957
149,2,67257
150,0,67557
151,0,67857
152,0,68157
153,0,68457
154,0,68757
155,0,69057
156,0,69357
157,0,69657
158,0,69957
159,3,70257
160,11,70557
161,5,70857
162,2,71157
163,0,71457
164,3,71757
165,2,72057
166,1,72357
167,0,72657
168,0,72957
169,0,73257
170,0,73557
171,0,73857
172,0,74157
173,0,74457
174,0,74757
175,0,75057
176,0,75357
177,0,75657
178,0,75957
179,0,76257
180,1,76557
181,0,76857
182,2,77157
183,1,77457
184,0,77757
185,0,78057
186,1,78357
187,0,78657
188,2,78957
189,0,79257
190,1,79557
