,TID,Time
0,114,36281
1,115,36464
2,116,36470
3,117,36474
4,118,36745
5,119,36945
6,120,36946
7,121,37037
8,122,37087
9,123,37087
10,124,37220
11,125,37222
12,126,37300
13,127,37449
14,128,37451
15,129,37567
16,130,37570
17,131,37723
18,132,37784
19,133,37976
20,134,37980
21,135,37993
22,136,38349
23,137,38351
24,138,38460
25,139,38463
26,140,38599
27,141,38683
28,142,38878
29,143,38998
30,144,39000
31,145,39003
32,146,39004
33,147,39006
34,148,39008
35,149,39181
36,150,39434
37,151,39440
38,152,39456
39,153,39543
40,154,39550
41,155,39678
42,156,39725
43,157,39740
